lat,lon,alt,date,device,os,version
51.2685050964,-1.0855909586,87.8205337524,2013-01-15 14:32:32,"iPhone3,1",6.0.1,1.1
51.0756645203,-1.30975103378,93.1817550659,2013-01-15 14:49:36,"iPhone3,1",6.0.1,1.1
51.0225296021,-1.32796180248,48.0909614563,2013-01-15 14:53:52,"iPhone3,1",6.0.1,1.1
50.9694252014,-1.34890925884,19.4423599243,2013-01-15 15:00:16,"iPhone3,1",6.0.1,1.1
50.96875,-1.36161959171,29,2013-01-15 16:19:12,"iPhone3,1",6.0.1,1.1
50.9638366699,-1.37534344196,36.4909324646,2013-01-15 18:14:24,"iPhone3,1",6.0.1,1.1
50.9686355591,-1.36159873009,31.5916404724,2013-01-15 18:46:24,"iPhone3,1",6.0.1,1.1
50.9675102234,-1.35442149639,29,2013-01-16 12:54:24,"iPhone3,1",6.0.1,1.1
50.9699821472,-1.36039638519,29,2013-01-16 13:54:08,"iPhone3,1",6.0.1,1.1
50.962688446,-1.37795937061,23.6296348572,2013-01-16 15:04:32,"iPhone3,1",6.0.1,1.1
50.9710540771,-1.35100662708,20.3030281067,2013-01-16 18:03:44,"iPhone3,1",6.0.1,1.1
51.0139923096,-1.34167003632,11.3583440781,2013-01-16 18:08:00,"iPhone3,1",6.0.1,1.1
51.0784912109,-1.33503067493,11.3583440781,2013-01-16 18:16:32,"iPhone3,1",6.0.1,1.1
51.175403595,-1.33893799782,11.3583440781,2013-01-16 18:22:56,"iPhone3,1",6.0.1,1.1
51.2780761719,-1.33471190929,11.3583440781,2013-01-16 18:29:20,"iPhone3,1",6.0.1,1.1
51.3484153748,-1.34198737144,139.750640869,2013-01-16 18:42:08,"iPhone3,1",6.0.1,1.1
51.4148750305,-1.32943379879,140.259552002,2013-01-16 19:52:32,"iPhone3,1",6.0.1,1.1
51.4925575256,-1.2965593338,93.1007232666,2013-01-16 19:58:56,"iPhone3,1",6.0.1,1.1
51.5538063049,-1.29552137852,96.9494628906,2013-01-16 20:03:12,"iPhone3,1",6.0.1,1.1
51.6883621216,-1.27972590923,85.6025238037,2013-01-16 20:13:52,"iPhone3,1",6.0.1,1.1
51.7587356567,-1.28488886356,28.7065353394,2013-01-16 20:20:16,"iPhone3,1",6.0.1,1.1
51.874710083,-1.22976863384,28.7065353394,2013-01-16 20:28:48,"iPhone3,1",6.0.1,1.1
52.0224609375,-1.16443252563,28.7065353394,2013-01-16 20:39:28,"iPhone3,1",6.0.1,1.1
52.1251564026,-1.02349936962,99.0299072266,2013-01-16 20:52:16,"iPhone3,1",6.0.1,1.1
